name,position,games,fantasy_points
Sam LaPorta,TE,17,4.0
Brock Wright,TE,17,68.0
Jordan Love,QB,17,22.0
Malik Willis,QB,17,49.0
Josh Jacobs,RB,17,9.0
MarShawn Lloyd,RB,17,57.0
Emanuel Wilson,RB,17,97.0
Matthew Golden,WR,17,37.0
Jayden Reed,WR,16,52.0
Romeo Doubs,WR,17,64.0
Christian Watson 10 0 0 0 0 0 0 3,WR,16,155.0
Savion Williams,WR,17,131.0
Malik Heath,WR,17,157.0
Tucker Kraft,TE,17,10.0
Luke Musgrave,TE,17,53.0
C.J. Stroud,QB,17,19.0
Davis Mills,QB,17,56.0
Nick Chubb,RB,17,45.0
Woody Marks,RB,17,58.0
Dameon Pierce,RB,17,121.0
Nico Collins,WR,17,7.0
Jayden Higgins,WR,17,56.0
Christian Kirk,WR,17,61.0
Jaylin Noel,WR,17,101.0
John Metchie III,WR,17,165.0
Braxton Berrios,WR,17,180.0
Dalton Schultz,TE,17,27.0
Jonathan Taylor,RB,17,7.0
DJ Giddens,RB,17,88.0
Tyler Goodson,RB,17,119.0
Michael Pittman Jr.,WR,17,47.0
Josh Downs,WR,17,53.0
Adonai Mitchell,WR,17,84.0
Anthony Gould,WR,17,175.0
Ashton Dulin,WR,17,176.0
Tyler Warren,TE,17,13.0
Andrew Ogletree,TE,17,98.0
Trevor Lawrence,QB,17,16.0
Nick Mullens,QB,17,45.0
Travis Etienne,RB,17,38.0
Tank Bigsby,RB,17,39.0
Bhayshul Tuten,RB,17,66.0
Brian Thomas Jr.,WR,17,9.0
Travis Hunter,WR,17,34.0
Dyami Brown,WR,17,75.0
Parker Washington,WR,17,104.0
Austin Trammell,WR,17,146.0
Brenton Strange,TE,17,21.0
Johnny Mundt,TE,17,57.0
Hunter Long,TE,17,87.0
Patrick Mahomes,QB,17,6.0
Gardner Minshew,QB,17,40.0
Isiah Pacheco,RB,17,24.0
Kareem Hunt,RB,17,60.0
Brashard Smith,RB,17,89.0
Carson Steele,RB,17,111.0
Xavier Worthy,WR,17,16.0
JuJu Smith-Schuster,WR,17,117.0
Tyquan Thornton,WR,17,137.0
Jalen Royals,WR,17,144.0
Nikko Remigio,WR,17,178.0
Travis Kelce,TE,17,6.0
Jared Wiley,TE,17,78.0
Justin Herbert,QB,17,13.0
Taylor Heinicke,QB,17,47.0
Omarion Hampton,RB,17,16.0
Najee Harris,RB,17,50.0
Kimani Vidal,RB,17,110.0
Ladd McConkey,WR,17,14.0
Keenan Allen,WR,17,45.0
Tre Harris,WR,17,76.0
Quentin Johnston,WR,17,79.0
KeAndre Lambert-Smith,WR,17,162.0
Will Dissly,TE,17,36.0
Oronde Gadsden II,TE,17,41.0
Matthew Stafford,QB,17,17.0
Jimmy Garoppolo,QB,17,39.0
Kyren Williams,RB,17,12.0
Blake Corum,RB,17,68.0
Jarquez Hunter,RB,17,81.0
Puka Nacua,WR,17,4.0
Davante Adams,WR,17,13.0
Tutu Atwell,WR,17,77.0
Jordan Whittington,WR,17,98.0
Britain Covey,WR,17,155.0
Tyler Higbee,TE,17,26.0
Terrance Ferguson,TE,17,44.0
Colby Parkinson,TE,17,64.0
Geno Smith,QB,17,24.0
Aidan O'Connell,QB,17,54.0
Ashton Jeanty,RB,17,6.0
Raheem Mostert,RB,17,70.0
Sincere McCormick,RB,17,85.0
Jakobi Meyers,WR,17,30.0
Jack Bech,WR,17,65.0
Dont'e Thornton Jr.,WR,17,92.0
Tommy Mellott,WR,17,140.0
Brock Bowers,TE,17,1.0
Michael Mayer,TE,17,37.0
Ian Thomas,TE,17,71.0
Tua Tagovailoa,QB,17,18.0
Zach Wilson,QB,17,50.0
De'Von Achane,RB,17,5.0
Jaylen Wright,RB,17,49.0
Ollie Gordon II,RB,17,73.0
Tyreek Hill,WR,17,12.0
Jaylen Waddle,WR,17,27.0
Nick Westbrook-Ikhine,WR,17,73.0
Malik Washington,WR,17,102.0
Darren Waller,TE,17,18.0
Julian Hill,TE,17,56.0
Pharaoh Brown,TE,17,70.0
J.J. McCarthy,QB,17,14.0
Sam Howell,QB,17,42.0
Aaron Jones,RB,17,23.0
Jordan Mason,RB,17,42.0
Ty Chandler,RB,17,104.0
Justin Jefferson,WR,17,2.0
Jalen Nailor,WR,17,99.0
Tim Jones,WR,17,136.0
T.J. Hockenson,TE,17,5.0
Josh Oliver,TE,17,48.0
Drake Maye,QB,17,20.0
Joshua Dobbs,QB,17,61.0
TreVeyon Henderson,RB,17,21.0
Rhamondre Stevenson,RB,17,33.0
Antonio Gibson,RB,17,99.0
Stefon Diggs,WR,17,41.0
DeMario Douglas,WR,17,63.0
Kyle T. Williams,WR,17,80.0
Kendrick Bourne,WR,17,115.0
Mack Hollins,WR,17,119.0
Hunter Henry,TE,17,16.0
Austin Hooper,TE,17,40.0
Jaheim Bell,TE,17,95.0
Alvin Kamara,RB,17,15.0
Kendre Miller,RB,17,62.0
Clyde Edwards-Helaire,RB,17,71.0
Chris Olave,WR,17,35.0
Rashid Shaheed,WR,17,46.0
Brandin Cooks,WR,17,74.0
Kevin Austin Jr.,WR,17,168.0
Cedrick Wilson,WR,17,170.0
Juwan Johnson,TE,17,31.0
Jack Stoll,TE,17,96.0
Tyrone Tracy Jr.,RB,17,26.0
Cam Skattebo,RB,17,40.0
Devin Singletary,RB,17,92.0
Eric Gray,RB,17,123.0
Wan'Dale Robinson,WR,17,58.0
Darius Slayton,WR,17,68.0
Ihmir Smith-Marsette,WR,17,148.0
Jalin Hyatt,WR,17,151.0
Theo Johnson,TE,17,28.0
Daniel Bellinger,TE,17,62.0
Chris Manhertz,TE,17,94.0
Justin Fields,QB,17,11.0
Tyrod Taylor,QB,17,60.0
Breece Hall,RB,17,20.0
Braelon Allen,RB,17,54.0
Isaiah Davis,RB,17,75.0
Garrett Wilson,WR,17,20.0
Josh Reynolds,WR,17,72.0
Allen Lazard,WR,17,87.0
Malachi Corley,WR,17,129.0
Arian Smith,WR,17,134.0
Xavier Gipson,WR,17,158.0
Mason Taylor,TE,17,25.0
Jeremy Ruckert,TE,17,61.0
Stone Smartt,TE,17,99.0
Jalen Hurts,QB,17,3.0
Tanner McKee,QB,17,63.0
Saquon Barkley,RB,17,2.0
Will Shipley,RB,17,64.0
Avery Williams,RB,17,118.0
A.J. Brown,WR,17,8.0
DeVonta Smith,WR,17,28.0
Jahan Dotson,WR,17,128.0
Johnny Wilson,WR,17,174.0
Dallas Goedert,TE,17,11.0
Grant Calcaterra,TE,17,60.0
Kylen Granson,TE,17,97.0
Aaron Rodgers,QB,17,28.0
Mason Rudolph,QB,17,58.0
Jaylen Warren,RB,17,27.0
Kaleb Johnson,RB,17,32.0
Kenneth Gainwell,RB,17,65.0
Calvin Austin III,WR,17,82.0
Roman Wilson,WR,17,106.0
Robert Woods,WR,17,114.0
Scotty Miller,WR,17,150.0
Pat Freiermuth,TE,17,23.0
Darnell Washington,TE,17,65.0
Connor Heyward,TE,17,92.0
Sam Darnold,QB,17,27.0
Drew Lock,QB,17,57.0
Ken Walker III,RB,17,14.0
Zach Charbonnet,RB,17,44.0
Damien Martinez,RB,17,103.0
Jaxon Smith-Njigba,WR,17,18.0
Cooper Kupp,WR,17,38.0
Tory Horton,WR,17,112.0
Marquez Valdes-Scantling,WR,17,125.0
Steven Sims Jr.,WR,17,177.0
Elijah Arroyo,TE,17,29.0
A.J. Barner,TE,17,35.0
Brock Purdy,QB,17,9.0
Mac Jones,QB,17,64.0
Christian McCaffrey,RB,17,3.0
Isaac Guerendo,RB,17,53.0
Kyle Juszczyk,RB,17,79.0
Patrick Taylor,RB,17,122.0
Jauan Jennings,WR,17,39.0
Ricky Pearsall,WR,17,44.0
Demarcus Robinson,WR,17,113.0
Jacob Cowing,WR,17,154.0
George Kittle,TE,17,3.0
Luke Farrell,TE,17,74.0
Baker Mayfield,QB,17,7.0
Kyle Trask,QB,17,44.0
Bucky Irving,RB,17,8.0
Rachaad White,RB,17,41.0
Sean Tucker,RB,17,74.0
Mike Evans,WR,17,22.0
Emeka Egbuka,WR,17,59.0
Jalen McMillan,WR,17,81.0
Tez Johnson,WR,17,156.0
Trey Palmer,WR,17,184.0
Cade Otton,TE,17,24.0
Payne Durham,TE,17,69.0
Cameron Ward,QB,17,25.0
Brandon Allen,QB,17,65.0
Tony Pollard,RB,17,25.0
Tyjae Spears,RB,17,37.0
Julius Chestnut,RB,17,124.0
Calvin Ridley,WR,17,25.0
Tyler Lockett,WR,17,66.0
Van Jefferson,WR,17,96.0
Chimere Dike,WR,17,111.0
Bryce Oliver,WR,17,149.0
Mason Kinsey,WR,17,183.0
Jha'Quan Jackson,WR,17,189.0
Josh Whyle,TE,17,58.0
David Martin-Robinson,TE,17,88.0
Jayden Daniels,QB,17,1.0
Marcus Mariota,QB,17,41.0
Brian Robinson Jr.,RB,17,31.0
Austin Ekeler,RB,17,36.0
Jeremy McNichols,RB,17,109.0
Terry McLaurin,WR,17,15.0
Deebo Samuel,WR,17,40.0
Noah Brown,WR,17,85.0
Luke McCaffrey,WR,17,116.0
Michael Gallup,WR,17,147.0
Zach Ertz,TE,17,20.0
John Bates,TE,17,72.0
